rater_id,winner_story_id,loser_story_id,winner_config,loser_config
P012,nonlinear_T0.3_s2,nonlinear_T0.3_s1,nonlinear_T0.3,nonlinear_T0.3
P012,nonlinear_T0.3_s3,nonlinear_T0.3_s1,nonlinear_T0.3,nonlinear_T0.3
P012,nonlinear_T0.3_s2,nonlinear_T0.3_s3,nonlinear_T0.3,nonlinear_T0.3
P013,baseline,nonlinear_T0.3_s1,baseline,nonlinear_T0.3
P013,baseline,nonlinear_T0.3_s2,baseline,nonlinear_T0.3
P013,baseline,nonlinear_T0.3_s3,baseline,nonlinear_T0.3
P013,nonlinear_T0.3_s2,nonlinear_T0.3_s1,nonlinear_T0.3,nonlinear_T0.3
P013,nonlinear_T0.3_s3,nonlinear_T0.3_s1,nonlinear_T0.3,nonlinear_T0.3
P013,nonlinear_T0.3_s2,nonlinear_T0.3_s3,nonlinear_T0.3,nonlinear_T0.3
P014,linear_T0.7_s3,baseline,linear_T0.7,baseline
P014,nonlinear_T0.3_s2,baseline,nonlinear_T0.3,baseline
P014,nonlinear_T0.9_s1,baseline,nonlinear_T0.9,baseline
P014,linear_T0.7_s3,nonlinear_T0.3_s2,linear_T0.7,nonlinear_T0.3
P014,nonlinear_T0.9_s1,linear_T0.7_s3,nonlinear_T0.9,linear_T0.7
P014,nonlinear_T0.9_s1,nonlinear_T0.3_s2,nonlinear_T0.9,nonlinear_T0.3
P015,nonlinear_T0.7_s1,baseline,nonlinear_T0.7,baseline
P015,nonlinear_T0.7_s2,baseline,nonlinear_T0.7,baseline
P015,nonlinear_T0.7_s3,baseline,nonlinear_T0.7,baseline
P015,nonlinear_T0.7_s2,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P015,nonlinear_T0.7_s3,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P015,nonlinear_T0.7_s3,nonlinear_T0.7_s2,nonlinear_T0.7,nonlinear_T0.7
P016,nonlinear_T0.7_s1,baseline,nonlinear_T0.7,baseline
P016,nonlinear_T0.7_s2,baseline,nonlinear_T0.7,baseline
P016,nonlinear_T0.7_s3,baseline,nonlinear_T0.7,baseline
P016,nonlinear_T0.7_s2,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P016,nonlinear_T0.7_s3,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P016,nonlinear_T0.7_s3,nonlinear_T0.7_s2,nonlinear_T0.7,nonlinear_T0.7
P017,baseline,nonlinear_T0.7_s1,baseline,nonlinear_T0.7
P017,nonlinear_T0.7_s2,baseline,nonlinear_T0.7,baseline
P017,nonlinear_T0.7_s3,baseline,nonlinear_T0.7,baseline
P017,nonlinear_T0.7_s2,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P017,nonlinear_T0.7_s3,nonlinear_T0.7_s1,nonlinear_T0.7,nonlinear_T0.7
P017,nonlinear_T0.7_s3,nonlinear_T0.7_s2,nonlinear_T0.7,nonlinear_T0.7
P018,nonlinear_T0.9_s1,baseline,nonlinear_T0.9,baseline
P018,baseline,nonlinear_T0.9_s2,baseline,nonlinear_T0.9
P018,nonlinear_T0.9_s3,baseline,nonlinear_T0.9,baseline
P018,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P018,nonlinear_T0.9_s3,nonlinear_T0.9_s1,nonlinear_T0.9,nonlinear_T0.9
P018,nonlinear_T0.9_s3,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P019,nonlinear_T0.9_s1,baseline,nonlinear_T0.9,baseline
P019,nonlinear_T0.9_s2,baseline,nonlinear_T0.9,baseline
P019,nonlinear_T0.9_s3,baseline,nonlinear_T0.9,baseline
P019,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P019,nonlinear_T0.9_s3,nonlinear_T0.9_s1,nonlinear_T0.9,nonlinear_T0.9
P019,nonlinear_T0.9_s3,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P020,nonlinear_T0.9_s1,baseline,nonlinear_T0.9,baseline
P020,nonlinear_T0.9_s2,baseline,nonlinear_T0.9,baseline
P020,nonlinear_T0.9_s3,baseline,nonlinear_T0.9,baseline
P020,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
P020,nonlinear_T0.9_s1,nonlinear_T0.9_s3,nonlinear_T0.9,nonlinear_T0.9
P020,nonlinear_T0.9_s3,nonlinear_T0.9_s2,nonlinear_T0.9,nonlinear_T0.9
