word,happiness_average,happiness_rank,happiness_standard_deviation
lucky,7.68,106,1.2688
mother,7.68,107,1.6714
super,7.68,108,1.5964
amazing,7.66,109,1.493
angels,7.66,110,1.4654
enjoy,7.66,111,1.4654
friend,7.66,112,1.5066
friendly,7.66,113,1.5467
mother's,7.66,114,1.2875
profit,7.66,115,1.239
finest,7.66,116,1.3875
bday,7.64,117,1.6753
champion,7.64,118,1.2249
grandmother,7.64,119,1.3516
haha,7.64,120,1.3815
kiss,7.64,121,1.7585
kitten,7.64,122,1.2898
miracle,7.64,123,1.8926
mom,7.64,124,1.8709
sweet,7.64,125,1.0645
blessings,7.62,126,1.6274
bright,7.62,127,1.1409
cutest,7.62,128,1.0859
entertaining,7.62,129,1.0859
excited,7.62,130,1.3981
excitement,7.62,131,1.6523
joke,7.62,132,1.3981
millionaire,7.62,133,2.1275
prize,7.62,134,1.2103
succeeded,7.62,135,1.1409
successfully,7.62,136,1.2599
winners,7.62,137,1.5372
shines,7.6,138,1.5944
awesome,7.6,139,1.5908
genius,7.6,140,1.2454
achievement,7.58,141,1.4299
cake,7.58,142,1.1082
cheers,7.58,143,1.4721
exciting,7.58,144,1.3415
goodness,7.58,145,1.3716
hug,7.58,146,1.4721
income,7.58,147,1.6047
party,7.58,148,1.4581
puppy,7.58,149,1.4581
smiling,7.58,150,1.7034
song,7.58,151,1.3415
succeeding,7.58,152,1.3415
tasty,7.58,153,1.1265
victories,7.58,154,1.7623
achieved,7.56,155,1.3726
billion,7.56,156,1.6679
cakes,7.56,157,1.4591
easier,7.56,158,1.1457
flowers,7.56,159,1.4309
gifts,7.56,160,1.9395
gold,7.56,161,1.1095
merry,7.56,162,1.1457
families,7.54,163,1.2811
handsome,7.54,164,1.2488
lovers,7.54,165,1.2811
affection,7.53,166,1.5289
candy,7.52,167,1.4879
cute,7.52,168,1.1993
diamond,7.52,169,1.7171
earnings,7.52,170,1.4177
interesting,7.52,171,1.1822
peacefully,7.52,172,1.0544
praise,7.52,173,1.4741
relaxing,7.52,174,1.2162
roses,7.52,175,1.2493
saturdays,7.52,176,1.729
faithful,7.51,177,1.3248
heavens,7.51,178,1.7335
cherish,7.5,179,1.4743
comfort,7.5,180,1.1473
congrats,7.5,181,1.5419
cupcake,7.5,182,1.7642
earn,7.5,183,1.3439
extraordinary,7.5,184,1.374
glory,7.5,185,1.6067
hilarious,7.5,186,1.9821
moonlight,7.5,187,1.359
optimistic,7.5,188,1.3132
peaceful,7.5,189,1.0926
romance,7.5,190,1.4321
feast,7.49,191,1.6473
attractive,7.48,192,0.9739
glad,7.48,193,1.5151
grandma,7.48,194,1.5016
internet,7.48,195,1.313
pleasant,7.48,196,1.2162
profits,7.48,197,1.3285
smart,7.48,198,1.3738
x-mas,7.48,199,1.821
babies,7.46,200,1.5012
cheer,7.46,201,1.6807
courage,7.46,202,1.1817
enthusiasm,7.46,203,1.1287
honest,7.46,204,1.1287
loyal,7.46,205,1.2488
opportunities,7.46,206,1.0919
triumph,7.46,207,1.8318
wow,7.46,208,1.4458
jewels,7.46,209,1.6153
forests,7.45,210,1.332
apple,7.44,211,1.2316
dreams,7.44,212,1.4165
fantasy,7.44,213,1.6183
food,7.44,214,1.2149
honey,7.44,215,1.5928
miracles,7.44,216,1.9395
sex,7.44,217,1.6801
sing,7.44,218,1.3426
starlight,7.44,219,1.4165
thankful,7.44,220,1.5005
wins,7.44,221,1.2643
achieve,7.42,222,1.2304
adored,7.42,223,1.4441
cash,7.42,224,1.6671
dances,7.42,225,1.295
gorgeous,7.42,226,1.9597
grandchildren,7.42,227,1.5131
incredible,7.42,228,1.3415
lunch,7.42,229,1.0897
mommy,7.42,230,1.7623
parties,7.42,231,1.4441
perfect,7.42,232,1.7154
saturday,7.42,233,1.7154
surprise,7.42,234,1.5398
truth,7.42,235,1.401
blessing,7.4,236,1.7379
creative,7.4,237,1.1952
dinner,7.4,238,1.1429
kindness,7.4,239,1.088
pleased,7.4,240,1.1606
sexy,7.4,241,1.2289
strength,7.4,242,1.1606
thank,7.4,243,1.1249
thanks,7.4,244,1.5119
thanksgiving,7.4,245,1.4142
treasure,7.4,246,1.7143
valentine,7.4,247,1.7023
riches,7.39,248,1.6685
awarded,7.38,249,1.1586
fabulous,7.38,250,1.5372
grandfather,7.38,251,1.427
heavenly,7.38,252,1.8282
hope,7.38,253,1.3076
kids,7.38,254,1.6022
magical,7.38,255,1.2919
million,7.38,256,1.427
nice,7.38,257,1.5104
sundays,7.38,258,1.4553
wealth,7.38,259,1.2271
fantasies,7.36,260,1.3898
cares,7.36,261,1.3962
dance,7.36,262,1.4394
daughters,7.36,263,1.2249
favorable,7.36,264,1.5086
friend's,7.36,265,1.6383
generosity,7.36,266,1.2739
grateful,7.36,267,1.4675
inspired,7.36,268,1.1021
mothers,7.36,269,1.4675
parents,7.36,270,1.5086
valentine's,7.36,271,1.3211
intelligent,7.35,272,1.5504
liberation,7.35,273,1.3039
melody,7.35,274,1.7742
wonderland,7.35,275,1.64
beloved,7.34,276,1.2715
caring,7.34,277,1.4086
homemade,7.34,278,1.239
inspiring,7.34,279,1.1886
movies,7.34,280,1.4514
precious,7.34,281,1.5201
respect,7.34,282,1.6113
satisfaction,7.34,283,1.1178
satisfy,7.34,284,1.4373
wedding,7.34,285,1.5201
accomplished,7.32,286,1.3005
adorable,7.32,287,1.6956
championship,7.32,288,1.3619
comfortable,7.32,289,1.0962
cuddle,7.32,290,1.7313
games,7.32,291,1.2196
grandson,7.32,292,1.4769
life,7.32,293,1.6956
lovely,7.32,294,1.5444
pretty,7.32,295,1.6956
proud,7.32,296,1.4348
rose,7.32,297,1.463
united,7.32,298,1.2027
fruits,7.31,299,1.5303
adventure,7.3,300,1.4321
couple,7.3,301,1.2657
dollars,7.3,302,1.4604
eating,7.3,303,1.7757
fortune,7.3,304,1.3887
generous,7.3,305,1.4743
golden,7.3,306,1.3439
hahah,7.3,307,1.5419
hooray,7.3,308,2.0727
intelligence,7.3,309,1.1995
lover,7.3,310,1.9299
luxury,7.3,311,1.6812
money,7.3,312,1.8434
passion,7.3,313,1.4743
prosperity,7.3,314,1.5286
remarkable,7.3,315,1.3286
sweetie,7.3,316,1.1294
valentines,7.3,317,1.7757
educated,7.29,318,1.307
gently,7.29,319,1.2748
baby,7.28,320,1.8521
books,7.28,321,1.3254
bride,7.28,322,1.5391
cherished,7.28,323,1.5784
cookies,7.28,324,1.7028
dessert,7.28,325,1.7733
employed,7.28,326,1.3559
glow,7.28,327,1.2943
god,7.28,328,1.9277
great-grandchildren,7.28,329,1.7028
helped,7.28,330,1.2943
independence,7.28,331,1.5913
likes,7.28,332,1.5391
luckily,7.28,333,1.6542
moon,7.28,334,1.3708
perfectly,7.28,335,1.5913
satisfied,7.28,336,1.5258
sunday,7.28,337,1.9171
juicy,7.27,338,1.2037
championships,7.26,339,1.3524
divine,7.26,340,1.4115
dreaming,7.26,341,1.2586
foods,7.26,342,1.482
fresh,7.26,343,1.3219
gladly,7.26,344,1.1214
greatest,7.26,345,1.5228
hearts,7.26,346,1.6759
luck,7.26,347,1.8824
millions,7.26,348,1.5361
musicians,7.26,349,1.0461
play,7.26,350,1.2257
progress,7.26,351,1.1572
savings,7.26,352,1.2747
appreciation,7.24,353,1.4653
bliss,7.24,354,1.7562
bloom,7.24,355,1.598
book,7.24,356,1.2048
child,7.24,357,1.5592
companion,7.24,358,1.3786
computer,7.24,359,1.3933
gardens,7.24,360,1.3486
gentle,7.24,361,0.9806
hahahah,7.24,362,2.036
helpful,7.24,363,1.2382
impressed,7.24,364,1.0412
kind,7.24,365,1.3933
knowledge,7.24,366,1.4647
liberty,7.24,367,1.2707
mama,7.24,368,1.7562
nature,7.24,369,1.802
pal,7.24,370,1.2707
passionate,7.24,371,1.0797
promoted,7.24,372,1.4923
reward,7.24,373,1.8905
warmth,7.24,374,1.6483
xmas,7.24,375,2.105
danced,7.22,376,1.2122
amazed,7.22,377,1.8658
appreciate,7.22,378,1.183
brother,7.22,379,1.2337
confidence,7.22,380,1.2824
darling,7.22,381,1.3138
encouraging,7.22,382,1.5556
energy,7.22,383,1.2982
films,7.22,384,1.2824
garden,7.22,385,1.183
graduated,7.22,386,1.2664
guitar,7.22,387,1.4748
health,7.22,388,1.2501
heart,7.22,389,1.4327
honor,7.22,390,1.2002
like,7.22,391,1.2171
musical,7.22,392,1.5556
pets,7.22,393,1.5292
relaxed,7.22,394,1.0554
salary,7.22,395,1.3445
star,7.22,396,1.5817
sweeter,7.22,397,1.1119
trust,7.22,398,1.2337
yummy,7.22,399,1.7876
ecstasy,7.2,400,1.7318
eternal,7.2,401,1.5272
approved,7.2,402,1.4983
benefits,7.2,403,1.0498
cartoon,7.2,404,1.4428
comforted,7.2,405,1.4428
cool,7.2,406,1.3401
discount,7.2,407,1.2936
good,7.2,408,1.4569
google,7.2,409,1.3093
ladies,7.2,410,1.4708
libraries,7.2,411,1.2454
luv,7.2,412,1.8406
perfection,7.2,413,1.6288
presents,7.2,414,1.4569
prizes,7.2,415,2.0304
special,7.2,416,1.1952
wishes,7.2,417,1.2122
alive,7.18,418,1.2887
awards,7.18,419,1.207
bed,7.18,420,1.2887
best,7.18,421,1.6866
coffee,7.18,422,1.4803
comfy,7.18,423,1.2237
fiesta,7.18,424,1.7692
genuine,7.18,425,1.3805
helping,7.18,426,1.6374
imagine,7.18,427,1.1008
leisure,7.18,428,1.6986
meal,7.18,429,1.4665
promise,7.18,430,1.1899
respected,7.18,431,1.024
rest,7.18,432,1.2567
travel,7.18,433,1.4241
abundant,7.16,434,1.6458
attracted,7.16,435,1.1669
devoted,7.16,436,1.3607
favourite,7.16,437,1.3607
granddaughter,7.16,438,1.6946
heroes,7.16,439,1.5696
ideas,7.16,440,1.2835
liked,7.16,441,0.9116
oceans,7.16,442,1.6208
pizza,7.16,443,1.3303
skies,7.16,444,1.3456
sleep,7.16,445,1.7066
spring,7.16,446,1.4337
sunset,7.16,447,2.1127
welcome,7.16,448,1.3149
1st,7.14,449,1.7025
adoring,7.14,450,1.6904
brighter,7.14,451,1.325
children's,7.14,452,1.512
cure,7.14,453,1.512
fireworks,7.14,454,1.4848
home,7.14,455,1.8296
honored,7.14,456,1.2779
journey,7.14,457,1.512
lovin,7.14,458,1.9693
opportunity,7.14,459,1.7144
paid,7.14,460,1.7144
parks,7.14,461,1.5651
playing,7.14,462,1.4709
shine,7.14,463,1.7144
strawberry,7.14,464,1.4144
summertime,7.14,465,2.2224
wealthy,7.14,466,1.7498
appreciated,7.12,467,1.507
artistic,7.12,468,1.2395
birth,7.12,469,1.6117
children,7.12,470,1.3498
fruit,7.12,471,1.5205
inspire,7.12,472,1.4797
juice,7.12,473,1.0812
laptop,7.12,474,1.3498
partners,7.12,475,1.4377
son,7.12,476,1.8142
stronger,7.12,477,1.0812
superman,7.12,478,1.7219
tree,7.12,479,1.3192
valuable,7.12,480,1.1183
woman's,7.12,481,1.3498
women,7.12,482,1.4658
glowing,7.1,483,1.4324
admiration,7.1,484,1.4604
carnival,7.1,485,1.7642
computers,7.1,486,1.2817
confident,7.1,487,1.1824
cookie,7.1,488,1.2976
cutie,7.1,489,1.3132
dearest,7.1,490,1.2817
dream,7.1,491,1.9614
freely,7.1,492,1.374
fridays,7.1,493,1.4604
plants,7.1,494,1.2976
quality,7.1,495,1.4178
rabbit,7.1,496,1.2164
resort,7.1,497,1.4463
shopping,7.1,498,1.5419
sincere,7.1,499,1.0351
snack,7.1,500,1.5682
stars,7.1,501,1.5419
toys,7.1,502,1.6568
useful,7.1,503,1.1995
wise,7.1,504,1.2657
yum,7.1,505,1.488
desirable,7.08,506,1.6563
sparkle,7.08,507,1.6181
bless,7.08,508,1.9675
comic,7.08,509,1.5628
cooking,7.08,510,1.2911
dancing,7.08,511,1.6142
earned,7.08,512,1.1753
equality,7.08,513,1.8277
faith,7.08,514,1.4405
graduate,7.08,515,1.2428
improvements,7.08,516,1.4119
memories,7.08,517,1.1925
park,7.08,518,1.3529
pet,7.08,519,1.7004
powerful,7.08,520,1.5365
princess,7.08,521,1.5758
qualities,7.08,522,1.1578
thrill,7.08,523,1.5628
true,7.08,524,1.1036
wonder,7.08,525,1.3068
everlasting,7.06,526,1.3906
mamma,7.06,527,1.7006
caress,7.06,528,1.7192
charm,7.06,529,1.4201
clever,7.06,530,1.3463
father,7.06,531,1.7427
grand,7.06,532,1.3614
hehehe,7.06,533,1.6587
idea,7.06,534,1.2843
pearl,7.06,535,1.4201
pictures,7.06,536,1.3157
restaurant,7.06,537,1.2521
sandwich,7.06,538,1.3763
sharing,7.06,539,1.2843
strong,7.06,540,1.5174
talent,7.06,541,0.9775
talented,7.06,542,1.5308
tenderness,7.06,543,1.2683
weddings,7.06,544,1.6587
dove,7.04,545,1.4428
awsome,7.04,546,1.7952
cherry,7.04,547,1.4563
daughter,7.04,548,1.8066
eat,7.04,549,1.4563
favorite,7.04,550,1.6532
girlfriend,7.04,551,1.6283
hoping,7.04,552,1.1421
impressive,7.04,553,1.0294
loyalty,7.04,554,1.7723
parent,7.04,555,1.293
relationship,7.04,556,1.293
safe,7.04,557,1.6157
scholarship,7.04,558,1.6532
shining,7.04,559,1.7608
sunrise,7.04,560,1.7952
yoga,7.04,561,1.5903
respects,7.02,562,1.6176
fairy,7.02,563,1.4789
humanity,7.02,564,1.6265
productivity,7.02,565,1.3148
brave,7.02,566,1.2856
colours,7.02,567,1.3775
correct,7.02,568,1.4913
dad,7.02,569,2.1236
daddy,7.02,570,1.7201
dollar,7.02,571,1.5185
easily,7.02,572,1.6349
fans,7.02,573,1.2534
goal,7.02,574,1.2204
hawaii,7.02,575,1.6841
honestly,7.02,576,1.5713
inspiration,7.02,577,1.4497
olympics,7.02,578,1.3476
saints,7.02,579,1.7201
sleeping,7.02,580,1.672
wisdom,7.02,581,1.5583
believed,7.0,582,1.2778
better,7.0,583,1.2778
color,7.0,584,1.3702
colors,7.0,585,1.7496
dad's,7.0,586,1.3851
determination,7.0,587,1.4142
discovered,7.0,588,1.2454
gentlemen,7.0,589,1.4289
girl,7.0,590,1.1606
harmony,7.0,591,1.4434
hello,7.0,592,1.5119
hopes,7.0,593,1.5518
noble,7.0,594,1.6036
praised,7.0,595,1.3851
reliable,7.0,596,1.4846
trip,7.0,597,1.5518
agreed,6.98,598,1.3013
approval,6.98,599,1.2036
brothers,6.98,600,1.4497
concerts,6.98,601,1.5451
cooperation,6.98,602,1.3775
encouraged,6.98,603,1.237
giving,6.98,604,1.1516
goals,6.98,605,1.2036
ideal,6.98,606,1.7082
intellectual,6.98,607,1.2856
invitation,6.98,608,1.3323
marry,6.98,609,1.868
musician,6.98,610,1.237
outdoors,6.98,611,1.6962
photography,6.98,612,1.4913
plenty,6.98,613,1.2204
rome,6.98,614,1.4213
trees,6.98,615,1.5971
trips,6.98,616,1.3169
unique,6.98,617,1.4356
wildlife,6.98,618,1.6841
lullaby,6.98,619,1.931
thrills,6.98,620,1.3306
abroad,6.96,621,1.2282
bath,6.96,622,1.261
benefit,6.96,623,1.3087
birds,6.96,624,1.428
dads,6.96,625,1.4702
elegant,6.96,626,1.9268
eternally,6.96,627,1.7138
fair,6.96,628,1.261
fancy,6.96,629,1.3696
great-grandfather,6.96,630,1.7257
imagination,6.96,631,1.3547
improving,6.96,632,0.8797
mountains,6.96,633,1.1945
ocean,6.96,634,1.7138
pancakes,6.96,635,1.2115
photograph,6.96,636,1.5644
praying,6.96,637,1.7492
present,6.96,638,1.2771
reunion,6.96,639,1.6283
safely,6.96,640,1.4563
saving,6.96,641,1.261
singing,6.96,642,1.7019
songs,6.96,643,1.8731
sunny,6.96,644,2.0894
terrific,6.96,645,2.0796
theater,6.96,646,1.5513
vanilla,6.96,647,1.3395
adore,6.96,648,1.8592
gentleman,6.96,649,1.7254
autumn,6.94,650,1.5039
cinema,6.94,651,1.596
college,6.94,652,1.4201
concert,6.94,653,1.2022
correctly,6.94,654,1.3311
cozy,6.94,655,1.4626
dear,6.94,656,1.544
earning,6.94,657,1.5308
earns,6.94,658,1.0956
gardening,6.94,659,1.2683
girls,6.94,660,1.4626
massage,6.94,661,1.6587
outdoor,6.94,662,1.2357
photos,6.94,663,1.1678
piano,6.94,664,1.2683
sea,6.94,665,1.2843
trusted,6.94,666,1.5331
albums,6.92,667,1.3223
dignity,6.92,668,1.1753
favored,6.92,669,1.3529
fitness,6.92,670,1.7478
game,6.92,671,1.6015
healing,6.92,672,1.3974
learned,6.92,673,1.5232
learning,6.92,674,1.3529
prayers,6.92,675,1.8499
promote,6.92,676,1.066
secure,6.92,677,1.2911
spa,6.92,678,1.4824
unity,6.92,679,1.7478
wish,6.92,680,1.4961
youtube,6.92,681,1.5097
favour,6.92,682,1.5253
clean,6.9,683,1.8979
dynamic,6.9,684,1.3132
encourage,6.9,685,1.6812
infant,6.9,686,1.7642
jewelry,6.9,687,1.5017
necklace,6.9,688,1.165
paintings,6.9,689,1.594
stability,6.9,690,1.488
voyage,6.9,691,1.3286
worthy,6.9,692,1.6812
fulfill,6.9,693,1.3423
eternity,6.9,694,1.9596
accuracy,6.88,695,1.1718
bookstores,6.88,696,1.4518
breeze,6.88,697,1.3346
bunny,6.88,698,1.7916
cheese,6.88,699,1.4377
comics,6.88,700,1.3498
donated,6.88,701,1.2395
easter,6.88,702,1.698
education,6.88,703,1.6117
email,6.88,704,1.3192
farmer,6.88,705,1.6243
female,6.88,706,1.272
flavor,6.88,707,1.2229
friday,6.88,708,1.686
moms,6.88,709,1.7687
photo,6.88,710,1.3944
pillow,6.88,711,1.2229
pure,6.88,712,1.3498
saved,6.88,713,1.507
shakespeare,6.88,714,1.7802
survived,6.88,715,1.4797
taste,6.88,716,1.272
valued,6.88,717,1.1183
vitamin,6.88,718,1.3797
infants,6.88,719,1.6283
silk,6.88,720,1.4525
dreamed,6.87,721,1.3922
#music,6.86,722,1.8953
acceptance,6.86,723,1.2779
banana,6.86,724,1.2938
breakfast,6.86,725,1.143
cooperative,6.86,726,1.3999
dancer,6.86,727,1.5388
grace,6.86,728,1.5254
greatly,6.86,729,1.3403
guarantee,6.86,730,1.3095
improved,6.86,731,1.3554
improvement,6.86,732,1.2618
independent,6.86,733,1.8071
liking,6.86,734,0.8809
paris,6.86,735,1.6661
pasta,6.86,736,1.4144
photographs,6.86,737,1.4984
recipes,6.86,738,1.3095
relationships,6.86,739,1.125
relief,6.86,740,1.6037
sailing,6.86,741,1.4848
science,6.86,742,1.578
seas,6.86,743,1.6289
toast,6.86,744,1.4144
truly,6.86,745,0.9691
platinum,6.86,746,1.8484
superstar,6.86,747,1.9685
understands,6.86,748,1.2076
accurately,6.84,749,1.4619
advantage,6.84,750,1.2835
belonging,6.84,751,1.2993
buddy,6.84,752,1.0568
childhood,6.84,753,1.8556
daylight,6.84,754,1.4049
discover,6.84,755,1.4049
forgiveness,6.84,756,1.9832
great-grandmother,6.84,757,1.8223
hopefully,6.84,758,1.5167
horses,6.84,759,1.4758
interested,6.84,760,1.0947
kid,6.84,761,1.4758
live,6.84,762,1.5167
lol,6.84,763,1.7884
movie,6.84,764,1.9832
popularity,6.84,765,1.5696
solution,6.84,766,1.3756
swim,6.84,767,1.2993
toy,6.84,768,2.034
understanding,6.84,769,1.1669
universe,6.84,770,1.2835
woman,6.84,771,1.6458
woohoo,6.84,772,2.044
rivers,6.84,773,1.5322
sail,6.84,774,1.5592
cared,6.83,775,1.2738
active,6.82,776,1.7692
artists,6.82,777,1.4241
babe,6.82,778,1.2728
believes,6.82,779,1.1899
born,6.82,780,1.6499
champagne,6.82,781,1.746
compassion,6.82,782,1.9026
completed,6.82,783,1.3656
create,6.82,784,1.1008
dedicated,6.82,785,1.32
experienced,6.82,786,1.1726
fathers,6.82,787,1.826
first,6.82,788,1.4803
gains,6.82,789,1.4803
heal,6.82,790,1.4525
new,6.82,791,1.1373
significant,6.82,792,1.0821
singer,6.82,793,1.4525
surprisingly,6.82,794,1.32
young,6.82,795,1.2403
mansion,6.82,796,1.6288
prevail,6.82,797,1.7281
qualified,6.81,798,1.5664
air,6.8,799,1.6537
amazon,6.8,800,1.5386
animal,6.8,801,1.8516
bedroom,6.8,802,1.4428
camera,6.8,803,1.2936
cream,6.8,804,1.2936
dreamer,6.8,805,1.4983
forgiven,6.8,806,1.5253
highest,6.8,807,1.7613
horse,6.8,808,1.5119
magic,6.8,809,1.7613
manners,6.8,810,1.2454
naturally,6.8,811,1.6036
novels,6.8,812,1.6903
performers,6.8,813,1.2617
pies,6.8,814,1.3702
protect,6.8,815,1.4142
santa,6.8,816,1.7728
shared,6.8,817,1.3401
smooth,6.8,818,1.178
together,6.8,819,1.5908
uncle,6.8,820,1.5649
efficient,6.8,821,1.5135
elevated,6.8,822,1.1899
cafe,6.78,823,1.4469
coke,6.78,824,1.6199
completion,6.78,825,1.3445
coolest,6.78,826,1.8103
creation,6.78,827,1.4039
dogs,6.78,828,1.8215
effectiveness,6.78,829,1.2664
esteemed,6.78,830,1.4039
finished,6.78,831,1.4184
glee,6.78,832,1.8658
green,6.78,833,1.6938
heartbeat,6.78,834,1.7058
island,6.78,835,1.5425
jukebox,6.78,836,1.5817
medal,6.78,837,1.4327
mom's,6.78,838,1.6199
museums,6.78,839,1.7177
painting,6.78,840,1.1657
pie,6.78,841,1.7177
pool,6.78,842,1.4609
reading,6.78,843,1.4609
real,6.78,844,1.2002
ruby,6.78,845,1.2664
share,6.78,846,1.4039
sons,6.78,847,1.6199
traveling,6.78,848,1.6695
variety,6.78,849,1.3138
wonders,6.78,850,1.8876
worth,6.78,851,1.3445
guaranteed,6.78,852,1.1773
raindrops,6.78,853,1.4181
visions,6.78,854,1.3733
pearls,6.77,855,1.7041
america,6.76,856,1.5194
easy,6.76,857,1.598
effective,6.76,858,1.2867
future,6.76,859,1.4223
humans,6.76,860,1.4507
intimate,6.76,861,1.3024
married,6.76,862,1.8468
muffin,6.76,863,1.2382
papa,6.76,864,1.9332
plus,6.76,865,1.4923
popcorn,6.76,866,1.8245
savior,6.76,867,1.6233
seasons,6.76,868,1.2216
shop,6.76,869,1.0412
sister,6.76,870,1.6483
style,6.76,871,1.6233
supporter,6.76,872,1.2216
switzerland,6.76,873,1.5059
tenderly,6.76,874,1.6233
top,6.76,875,1.5194
oxygen,6.76,876,1.422
rhyme,6.76,877,1.1995
allright,6.74,878,1.5624
american,6.74,879,1.5228
artist,6.74,880,1.4401
capable,6.74,881,1.6759
complete,6.74,882,1.2423
convenient,6.74,883,1.2257
courtesy,6.74,884,1.0844
donate,6.74,885,1.3372
drinks,6.74,886,1.4259
father's,6.74,887,1.3822
fine,6.74,888,1.3674
focused,6.74,889,1.1395
guitars,6.74,890,1.3969
hi,6.74,891,1.0654
integrity,6.74,892,1.5093
justice,6.74,893,1.9568
lake,6.74,894,1.6759
mankind,6.74,895,1.6011
mentor,6.74,896,1.1214
merit,6.74,897,1.209
performance,6.74,898,1.3372
plant,6.74,899,1.3524
prepared,6.74,900,1.0654
raise,6.74,901,1.209
romeo,6.74,902,1.712
shiny,6.74,903,1.2257
sugar,6.74,904,1.9358
surprising,6.74,905,1.2906
technology,6.74,906,1.4957
treat,6.74,907,1.712
university,6.74,908,1.3822
wishing,6.74,909,1.0461
yes,6.74,910,1.4542
desires,6.73,911,1.4688
wished,6.73,912,1.4109
4-bedroom,6.72,913,1.4988
attract,6.72,914,1.1436
bike,6.72,915,1.3856
car,6.72,916,2.1
civilization,6.72,917,1.3099
classy,6.72,918,1.0309
confirmed,6.72,919,1.2296
costumes,6.72,920,1.1256
creating,6.72,921,1.1613
culture,6.72,922,1.8075
finish,6.72,923,1.4148
gallery,6.72,924,1.2784
knowing,6.72,925,1.3559
lifelong,6.72,926,1.4434
momma,6.72,927,1.7384
neat,6.72,928,1.4434
niece,6.72,929,1.3559
online,6.72,930,1.2784
orchestra,6.72,931,1.3708
plays,6.72,932,1.5784
revenue,6.72,933,1.5258
shower,6.72,934,1.5124
spiritual,6.72,935,1.9487
surprised,6.72,936,1.3559
tremendous,6.72,937,1.5913
values,6.72,938,1.5654
villages,6.72,939,1.3708
warm,6.72,940,1.7961
doggy,6.71,941,2.1794
hallelujah,6.71,942,1.9896
candle,6.71,943,1.5704
secured,6.71,944,1.1478
valid,6.71,945,1.4434
agree,6.7,946,1.1824
anniversary,6.7,947,1.8434
antiques,6.7,948,1.374
believe,6.7,949,1.594
bucks,6.7,950,1.6812
cruise,6.7,951,1.9614
dancers,6.7,952,1.6067
dine,6.7,953,1.4033
dog,6.7,954,1.8434
florida,6.7,955,1.6568
grandsons,6.7,956,1.9086
grants,6.7,957,1.2495
