User_id,Group_id,Story 1,Story 2,Story 3,Story 4,Gender,Age,Edu,Fiction Reading Frequency,What is your English proficiency level?,How familiar are you with science fiction as a genre?,Coherence How coherent and logical is the plot development of this story?,Emotional Development Are the emotional changes in the story natural and engaging?,Character Consistency Are the characters' behaviors and personalities consistent and believable?,Creativity/Originality Does the story have novel ideas and unique expressions?,Language Fluency Is the language expression natural and fluent?,Structural Completeness Is the story structure complete and well-organized?,"Overall Quality Overall, how would you rate the quality of this story?",Coherence How coherent and logical is the plot development of this story?,Emotional Development Are the emotional changes in the story natural and engaging?,Character Consistency Are the characters' behaviors and personalities consistent and believable?,Creativity/Originality Does the story have novel ideas and unique expressions?,Language Fluency Is the language expression natural and fluent?,Structural Completeness Is the story structure complete and well-organized?,"Overall Quality Overall, how would you rate the quality of this story?",Coherence How coherent and logical is the plot development of this story?,Emotional Development Are the emotional changes in the story natural and engaging?,Character Consistency Are the characters' behaviors and personalities consistent and believable?,Creativity/Originality Does the story have novel ideas and unique expressions?,Language Fluency Is the language expression natural and fluent?,Structural Completeness Is the story structure complete and well-organized?,"Overall Quality Overall, how would you rate the quality of this story?",Coherence How coherent and logical is the plot development of this story?,Emotional Development Are the emotional changes in the story natural and engaging?,Character Consistency Are the characters' behaviors and personalities consistent and believable?,Creativity/Originality Does the story have novel ideas and unique expressions?,Language Fluency Is the language expression natural and fluent?,Structural Completeness Is the story structure complete and well-organized?,"Overall Quality Overall, how would you rate the quality of this story?","Favorite Story Among the 4 stories you just read, which one do you like most?",Most Coherent Story Which story do you think is the most coherent?,Most Creative Story Which story do you think is the most creative?,"Quality Ranking Please rank the 4 stories by overall quality from best to worst (1=best, 4=worst) [Story 1]","Quality Ranking Please rank the 4 stories by overall quality from best to worst (1=best, 4=worst) [Story 2]","Quality Ranking Please rank the 4 stories by overall quality from best to worst (1=best, 4=worst) [Story 3]","Quality Ranking Please rank the 4 stories by overall quality from best to worst (1=best, 4=worst) [Story 4:]",Most Engaging Story Which story most motivated you to continue reading?,"Content Comprehension Check Please recall carefully: In Story 3, who was the first character Little Red Riding Hood encountered?","Attention Check To ensure you read the instructions carefully, please select ""Quite satisfied"" from the options below","Understanding of Coherence What do you think is the most important criterion for judging story ""coherence""?","Understanding of Emotional Development What is the most important feature of ""emotional development"" in stories?",Best Story Analysis Please describe specifically what made your favorite story stand out. What were its strongest qualities?,"Areas for Improvement Across all the stories you read, what aspects do you think need the most improvement? Please be specific and provide examples if possible.",Science Fiction Story Features What do you think are the most important features of a high-quality science fiction story? (Select all that apply),Reading Load Assessment Do you think the number of stories in this experiment was appropriate?,Evaluation Difficulty How would you rate the difficulty of evaluating these stories?,Time Investment Approximately how much time did you spend on this entire survey?,Overall Experience How would you describe your overall experience with this survey?,"Additional Comments Do you have any other suggestions, comments, or feedback about this experiment or the stories you read?"
11,D,Sci baseline,nonlinear_T0.3_s1,nonlinear_T0.3_s2,nonlinear_T0.3_s3,Female,50+ years old,Master's/PhD degree,Occasionally (1-2 books/month),Fluent (C2),Somewhat familiar - I occasionally read sci-fi,4,3,4,4,3,3,5,4,3,3,4,3,3,5,4,3,3,2,3,3,6,4,2,3,3,3,4,6,Story 1,Story 2,Story 1,1,2,3,4,Story 1,Robot Wolf,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,"Its strongest qualities were creativity, vivid imagery, and a clear sense of myster","The stories need less repetition and stronger emotional depth, especially in Stories 2–4.",Novel and scientifically plausible settings;Clear and logical plot development;Natural emotional expression and character growth;Rich imagination and creative concepts;Thought-provoking themes and ideas;Accurate scientific or technological details,Just right,Difficult,30-45 minutes,Somewhat positive,
12,D,Sci baseline,nonlinear_T0.3_s1,nonlinear_T0.3_s2,nonlinear_T0.3_s3,Female,18-30 years old,Master's/PhD degree,Occasionally (1-2 books/month),Advanced (C1),Somewhat familiar - I occasionally read sci-fi,3,4,4,5,1,3,5,3,2,3,3,3,2,5,4,5,5,4,4,3,8,3,3,3,3,3,3,6,Story 1,Story 3,Story 1,1,4,2,3,Story 3,Robot Wolf,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,"Story 1 offers an interesting rewrite and expansion of the original Little Red Riding Hood, introducing unique concepts such as “threads,” “songs,” and “names,” which are both intriguing and carry a sense of science fiction and romance. Moreover, the wolf is no longer a purely evil character but instead becomes a fascinating and dangerous neutral figure. The grandmother’s backstory is also very engaging.","Indeed, it still comes down to the language. Story 1 is somewhat too awkward and not very smooth, while Stories 2 and 4 are more fluent but contain many lengthy and unnatural descriptions. Story 3 handles this aspect the best, though it still has quite a few highly repetitive sentences, which human writers would generally avoid.",Clear and logical plot development;Well-developed and believable characters;Fluent and engaging writing style;Rich imagination and creative concepts;Complete and well-structured narrative,Slightly too many,Moderate,Less than 30 minutes,Somewhat positive,"The plots of 2, 3, and 4 are a bit too similar (is it because the subheadings are fixed?). It’s hard to distinguish them, though maybe it’s also for the sake of controlling variables."
13,D,Sci baseline,nonlinear_T0.3_s1,nonlinear_T0.3_s2,nonlinear_T0.3_s3,Male,18-30 years old,Bachelor's degree,Rarely read,Native speaker,Not very familiar - Limited exposure to sci-fi,5,4,5,5,4,5,5,4,4,3,4,3,3,6,4,3,4,4,5,4,7,4,4,5,4,4,4,7,Story 1,Story 1,Story 1,1,4,2,3,Story 1,Spaceship Pilot,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,,,Novel and scientifically plausible settings;Natural emotional expression and character growth;Thought-provoking themes and ideas,Just right,Moderate,30-45 minutes,Somewhat positive,
14,G,Sci baseline,nonlinear_T0.3_s2,linear_T0.7_s3,nonlinear_T0.9_s1,Female,18-30 years old,Master's/PhD degree,Occasionally (1-2 books/month),Fluent (C2),Moderately familiar - I know the basic concepts,3,2,3,2,3,4,6,3,3,3,2,3,2,6,3,3,3,2,4,4,6,3,4,3,3,3,4,7,Story 4,Story 2,Story 4,4,3,2,1,Story 2,Robot Wolf,Quite satisfied,All elements in the story are interconnected,Different characters have emotional interactions,Expression ,"The degree of coherence is insufficient, and the writing is not beautiful.",Novel and scientifically plausible settings;Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Rich imagination and creative concepts;Complete and well-structured narrative;Thought-provoking themes and ideas,Just right,Moderate,60-75 minutes,Very positive,Perfect
15,E,Sci baseline,nonlinear_T0.7_s1,nonlinear_T0.7_s2,nonlinear_T0.7_s3,Female,18-30 years old,Bachelor's degree,Occasionally (1-2 books/month),Advanced (C1),Somewhat familiar - I occasionally read sci-fi,1,1,2,3,2,2,3,2,2,2,3,3,2,6,3,3,3,4,3,3,6,3,3,3,4,4,4,7,Story 3,Story 4,Story 3,4,3,2,1,Story 3,Robot Wolf,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,The overall story is coherent and the language is relatively natural. I personally think it is the story that is closest to human nature,"There are sometimes logical leaps, some words and expressions are too obscure and difficult to understand, and unnatural metaphors",Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Complete and well-structured narrative;Thought-provoking themes and ideas,Just right,Difficult,30-45 minutes,Very positive,
16,E,Sci baseline,nonlinear_T0.7_s1,nonlinear_T0.7_s2,nonlinear_T0.7_s3,Male,50+ years old,Bachelor's degree,Heavy reader (5+ books/month),Fluent (C2),Very familiar - I regularly read sci-fi,2,3,2,4,3,3,4,2,3,3,3,3,3,6,3,3,4,4,3,3,7,4,4,4,5,4,4,8,Story 4,Story 4,Story 1,4,3,2,1,Story 4,Robot Wolf,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,,,Novel and scientifically plausible settings;Clear and logical plot development;Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Rich imagination and creative concepts;Complete and well-structured narrative;Thought-provoking themes and ideas;Accurate scientific or technological details,Slightly too many,Moderate,45-60 minutes,Very positive,
17,E,Sci baseline,nonlinear_T0.7_s1,nonlinear_T0.7_s2,nonlinear_T0.7_s3,Female,30-50 years old,Bachelor's degree,Frequently (3-5 books/month),Advanced (C1),Somewhat familiar - I occasionally read sci-fi,2,3,2,3,3,2,5,3,2,2,4,3,3,6,4,3,4,4,3,4,6,4,5,4,5,4,4,7,Story 4,Story 4,Story 3,3,4,2,1,Story 4,Robot Wolf,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,,,Novel and scientifically plausible settings;Clear and logical plot development;Fluent and engaging writing style;Rich imagination and creative concepts,Slightly too many,Easy,60-75 minutes,Somewhat positive,
18,F,Sci baseline,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9_s3,Female,18-30 years old,Master's/PhD degree,Occasionally (1-2 books/month),Fluent (C2),Moderately familiar - I know the basic concepts,3,3,4,4,4,3,5,4,3,4,5,4,4,8,3,2,4,5,4,3,7,5,5,5,5,5,5,8,Story 4,Story 4,Story 4,3,2,4,1,Story 4,Robot Wolf,Quite satisfied,The story plot is logically consistent throughout without contradictions,Emotions change and evolve as the plot progresses,Story 4 (SCI baseline) stands out for its exceptional literary quality and philosophical thinking.,"The most consistent area for improvement across the stories is emotional development and depth. While the concepts and plots are strong, the emotional arcs can sometimes feel secondary to the technological ideas. In Stories 1 and 2 (the cyberpunk thrillers), the emotional transitions were often functional, serving the plot rather than feeling like deep, organic character growth. The focus was on action and tech.  Story 3, while highly creative, had the most abrupt emotional beats. The confrontation and resolution with the AI unit felt more like a logical puzzle than an emotionally charged moment.  Even Story 4, which excelled in this area, could have delved slightly deeper into the grandmother's personal history and fears to make her resilience even more powerful.",Novel and scientifically plausible settings;Clear and logical plot development;Well-developed and believable characters;Natural emotional expression and character growth;Fluent and engaging writing style;Rich imagination and creative concepts;Complete and well-structured narrative;Thought-provoking themes and ideas,Just right,Moderate,45-60 minutes,Very positive,"This was a genuinely interesting experiment. I appreciated the clever concept of exploring a single narrative frame through different sci-fi lenses. It made the evaluation process much more engaging than reviewing unrelated stories. The contrast between the poetic, philosophical tone of Story 4 and the gritty, technical action of Stories 1 and 2 was particularly effective. The questions were well-chosen and covered all the key aspects of what makes a story work. My only small note would be to make the instruction to evaluate each story separately a bit more prominent initially to avoid any confusion. Overall, it was a thoughtful and well-constructed survey."
19,F,Sci baseline,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9_s3,Male,50+ years old,High School,Occasionally (1-2 books/month),Intermediate (B1),Moderately familiar - I know the basic concepts,3,3,4,3,3,4,5,4,5,3,5,3,3,7,3,3,4,3,3,4,8,5,5,3,3,4,5,8,Story 4,Story 4,Story 4,4,2,3,1,Story 2,Spaceship Pilot,Quite satisfied,The story language is fluent and easy to understand,Emotional expressions are very intense and profound,,,Novel and scientifically plausible settings;Natural emotional expression and character growth;Thought-provoking themes and ideas,Just right,Moderate,30-45 minutes,Somewhat positive,The story’s language should be more plain and easy to understand.
20,F,Sci baseline,nonlinear_T0.9_s1,nonlinear_T0.9_s2,nonlinear_T0.9_s3,Male,30-50 years old,Master's/PhD degree,Occasionally (1-2 books/month),Intermediate (B1),Somewhat familiar - I occasionally read sci-fi,3,2,3,3,3,4,5,3,2,3,3,3,3,5,3,3,3,3,3,3,6,4,4,3,3,3,3,6,Story 4,Story 3,Story 3,4,1,3,2,Story 3,AI Assistant,Quite satisfied,The story language is fluent and easy to understand,Emotions change and evolve as the plot progresses,,,Novel and scientifically plausible settings;Rich imagination and creative concepts;Complete and well-structured narrative,Slightly too many,Difficult,45-60 minutes,Neutral,"The sequence of language feels stiff, and the wording is too abstract."
